CATÉGORIE,AGGLOMÉRATION DE MONTRÉAL,Montréal,Ahuntsic-Cartierville,Anjou,Côte-des-Neiges-Notre-Dame-de-Grâce,Lachine,LaSalle,Plateau-Mont-Royal,Sud-Ouest,LÎle-Bizard-Sainte-Geneviève,Mercier-Hochelaga-Maisonneuve,Montréal-Nord,Outremont,Pierrefonds-Roxboro,Rivière-des-Prairies-Pointe-aux-Trembles,Rosemont-La Petite-Patrie,Saint-Laurent,Saint-Léonard,Verdun,Ville-Marie,Villeray-Saint-Michel-Parc-Extension,Baie-DUrfé,Beaconsfield,Côte-Saint-Luc,Dollard-Des-Ormeaux,Dorval,Hampstead,Kirkland,Montréal-Est,Montréal-Ouest,Mont-Royal,Pointe-Claire,Sainte-Anne-de-Bellevue,Senneville,Westmount
Total - Minorités visibles pour la population dans les ménages privés - Données-échantillon (25 %),"1,959,355","1,723,225","130,745","42,290","167,510","44,540","80,215","103,685","82,480","18,140","136,695","85,430","23,750","69,865","105,490","138,740","100,860","77,410","68,800","102,400","144,175","3,660","19,035","33,715","47,925","19,015","7,040","19,240","4,255","5,105","20,690","31,560","4,635",950,"19,285"
  Total de la population des minorités visibles,"737,510","668,975","54,420","16,640","85,870","14,060","35,870","20,880","25,790","5,110","36,215","49,000","2,605","33,705","32,425","28,795","59,265","36,350","16,775","43,565","71,640",520,"3,745","9,130","20,775","5,320","1,415","6,090",810,935,"6,690","8,020","1,015",125,"3,940"
    Sud-Asiatique,"91,365","79,670","6,230",155,"12,260","1,215","7,645","2,285","3,320",610,"1,615","1,000",120,"7,040",465,"1,130","8,690","1,245","1,575","6,745","16,305",45,470,750,"5,825",815,75,960,10,185,615,"1,405",190,45,300
    Chinois,"69,985","56,940","2,020",500,"6,740","1,420","4,860","2,705","4,245",585,"2,480",445,275,"2,875",660,"2,085","8,250",915,"2,945","10,280","2,650",160,"1,275",705,"1,880",890,280,"2,410",15,90,"1,535","2,415",205,0,"1,185"
    Noir,"208,800","198,610","16,930","7,275","17,760","6,595","13,590","3,885","7,430",945,"13,405","27,350",585,"8,665","19,295","8,100","10,160","9,260","3,080","5,450","18,855",50,325,"2,020","3,385",875,230,555,520,220,570,875,185,30,350
    Philippin,"33,365","27,355",510,55,"16,760",880,690,300,485,440,200,145,55,"3,045",145,255,"2,065",100,405,440,370,20,105,"1,685","2,310",565,195,140,30,60,150,525,105,0,115
    Arabe,"151,890","141,940","18,010","5,145","11,940","1,230","3,180","3,485","3,615","1,410","7,660","10,355",510,"6,315","4,590","6,610","18,745","16,010","2,225","9,060","11,845",55,340,835,"3,775",630,90,900,80,65,"1,775",720,105,0,575
    Latino-Américain,"82,550","78,155","5,240","2,220","6,235","1,345","2,960","3,830","2,930",470,"6,470","6,715",260,"1,765","4,480","6,215","3,200","4,865","3,420","4,210","11,325",55,345,495,805,680,170,240,130,90,355,695,95,0,240
    Asiatique du Sud-Est,"40,535","37,905","2,850",780,"4,005",350,545,"1,350","1,235",140,"2,735","1,695",260,880,"1,870","2,560","3,870","2,835",865,"1,860","7,220",0,115,205,530,220,75,80,10,40,820,210,30,0,285
    Asiatique occidental,"22,800","17,500",810,200,"4,325",325,820,865,735,235,305,480,275,"1,540",180,290,"1,525",260,"1,050","2,760",495,55,425,"1,715",980,170,165,420,0,145,445,405,40,0,330
    Coréen,"6,755","5,250",105,10,"1,645",115,330,530,335,20,55,10,40,150,30,185,340,35,365,800,135,30,95,290,165,120,45,130,0,15,110,220,10,0,285
    Japonais,"3,165","2,640",95,0,495,85,55,485,225,0,105,0,65,65,20,205,105,15,145,285,195,20,40,0,35,60,20,45,0,0,40,150,15,0,90
"    Minorité visible, n.i.a.","6,515","5,475",370,65,755,140,460,275,190,70,200,195,70,460,100,225,505,215,215,435,535,20,45,195,370,50,35,80,0,10,65,105,15,0,30
    Minorités visibles multiples,"19,790","17,540","1,255",250,"2,945",355,720,890,"1,030",165,980,595,100,905,595,935,"1,805",595,475,"1,235","1,715",0,155,235,735,245,30,135,10,20,215,285,20,0,155
  Pas une minorité visible,"1,221,845","1,054,255","76,325","25,655","81,640","30,480","44,345","82,800","56,695","13,030","100,485","36,435","21,145","36,160","73,060","109,945","41,605","41,060","52,025","58,835","72,535","3,140","15,290","24,580","27,150","13,695","5,625","13,145","3,445","4,175","14,000","23,540","3,620",830,"15,345"
