PDQ,Infractions entrainant la mort,Introduction,Méfait,Vol dans / sur véhicule à moteur,Vol de véhicule à moteur,Vols qualifiés,Total général
PDQ #38,15,7105,4423,4942,2748,1069,20302
PDQ #21,16,2711,3524,7917,1761,1238,17167
PDQ #20,12,2148,3155,8562,1617,702,16196
PDQ #48,10,3167,2822,3544,3083,865,13491
PDQ #7,8,2574,2227,3320,4273,537,12939
PDQ #39,17,2907,2651,2966,3468,848,12857
PDQ #26,11,3351,2808,2958,2627,838,12593
PDQ #44,6,3184,2200,3053,2143,577,11163
PDQ #15,9,3236,2643,2937,1543,655,11023
PDQ #23,8,3569,2492,2741,1394,662,10866
PDQ #42,10,1927,1817,3184,3006,526,10470
PDQ #27,9,2474,2013,2645,2518,532,10191
PDQ #22,9,2857,2042,2269,971,744,8892
PDQ #31,6,2385,1634,2456,1861,488,8830
PDQ #35,5,2856,2045,2141,1243,523,8813
PDQ #5,4,1562,1410,2342,2917,271,8506
PDQ #30,9,1595,1674,2452,2017,493,8240
PDQ #13,14,1544,1895,1799,1494,480,7226
PDQ #49,14,1662,1623,1905,1688,311,7203
PDQ #16,6,1991,1691,1879,868,374,6809
PDQ #46,9,1013,1167,2153,1876,272,6490
PDQ #8,9,1612,1501,1431,1151,345,6049
PDQ #12,9,1454,1505,1776,716,496,5956
PDQ #45,7,1048,1184,1452,1978,262,5931
PDQ #10,6,1250,1052,1683,1582,316,5889
PDQ #9,7,1292,1310,1380,1354,259,5602
PDQ #3,7,1486,1242,1262,972,253,5222
PDQ #11,4,1018,1285,813,440,330,3890
PDQ #4,0,743,790,1050,854,142,3579
PDQ #1,0,950,654,833,707,96,3240
PDQ #33,2,756,646,900,463,185,2952
PDQ #24,0,893,504,784,259,92,2532
PDQ #50,0,110,1752,8,0,427,2297
PDQ #55,0,8,36,25,55,2,126
,,,,,,,5
